distancia,tipo_envio,restriccion,antiguedad_dias,prioridad
48.01,normal,ninguna,2.47,baja
52.21,express,ninguna,4.21,alta
80.81,express,ninguna,4.39,alta
96.29,express,ninguna,4.13,alta
63.6,normal,ninguna,0.11,media
4.78,express,ninguna,3.17,alta
44.53,normal,ninguna,0.36,baja
8.75,express,ninguna,4.32,alta
1.56,normal,ninguna,4.15,media
57.55,normal,valioso,4.27,media
13.09,express,ninguna,4.13,alta
92.18,express,ninguna,4.61,alta
20.8,normal,valioso,4.07,media
72.31,express,valioso,3.58,alta
3.94,normal,ninguna,4.46,media
26.75,normal,ninguna,2.76,media
1.97,normal,ninguna,3.96,media
33.78,express,valioso,4.48,alta
1.53,express,ninguna,3.47,alta
82.52,normal,valioso,3.74,media
83.45,normal,ninguna,0.81,media
53.61,normal,ninguna,2.27,media
84.84,express,ninguna,4.03,alta
62.87,normal,valioso,4.35,media
94.39,express,valioso,3.35,alta
1.2,normal,ninguna,3.52,media
3.21,normal,ninguna,4.57,media
48.6,normal,ninguna,1.76,baja
82.0,express,ninguna,4.46,alta
2.13,express,ninguna,3.64,alta
6.27,express,ninguna,3.38,alta
56.26,express,ninguna,3.79,alta
4.16,express,ninguna,4.67,alta
82.3,express,valioso,3.68,alta
2.76,express,ninguna,4.15,alta
8.39,express,ninguna,4.61,alta
2.71,normal,ninguna,4.13,media
8.73,express,ninguna,4.67,alta
6.8,express,ninguna,4.37,alta
35.97,express,ninguna,10.4,alta
87.2,normal,ninguna,1.0,media
7.69,normal,valioso,3.37,media
4.21,normal,ninguna,4.42,media
3.19,express,ninguna,3.75,alta
10.21,express,ninguna,14.15,alta
21.79,express,valioso,3.44,alta
51.54,express,valioso,3.55,alta
38.04,express,ninguna,12.43,alta
4.13,express,valioso,3.34,alta
6.51,normal,valioso,3.22,media
53.78,express,ninguna,13.17,alta
80.63,normal,valioso,3.82,media
22.08,normal,valioso,3.31,media
90.9,express,ninguna,4.28,alta
98.57,express,valioso,3.81,alta
13.3,express,ninguna,4.72,alta
85.48,express,ninguna,4.88,alta
90.6,express,valioso,3.79,alta
11.41,normal,ninguna,5.58,alta
96.13,normal,ninguna,2.85,media
3.34,express,valioso,3.59,alta
4.64,normal,ninguna,7.89,alta
48.06,express,valioso,3.85,alta
94.58,express,valioso,4.66,alta
22.68,normal,valioso,3.12,media
1.72,normal,ninguna,4.26,media
2.45,normal,ninguna,3.69,media
52.19,express,ninguna,4.13,alta
61.5,normal,ninguna,1.58,media
66.52,express,ninguna,4.7,alta
14.2,normal,valioso,4.19,media
36.18,express,valioso,4.84,alta
97.87,express,ninguna,3.37,alta
3.72,express,ninguna,6.57,alta
9.78,normal,ninguna,1.49,baja
90.98,express,ninguna,4.0,alta
55.13,normal,ninguna,6.99,alta
4.66,express,ninguna,4.38,alta
18.97,express,valioso,4.26,alta
4.81,normal,ninguna,4.31,media
65.85,express,valioso,3.72,alta
2.25,express,ninguna,12.89,alta
48.97,normal,valioso,4.32,media
8.89,normal,ninguna,2.8,media
46.98,express,valioso,3.21,alta
13.06,express,valioso,3.18,alta
4.86,normal,ninguna,4.73,media
2.18,normal,ninguna,4.13,media
50.8,normal,ninguna,0.83,media
74.39,express,ninguna,3.31,alta
62.09,express,ninguna,3.68,alta
5.3,normal,ninguna,2.39,baja
13.32,normal,valioso,3.11,media
64.75,express,valioso,3.8,alta
71.94,normal,valioso,4.28,media
12.66,normal,ninguna,10.68,alta
75.72,normal,ninguna,2.05,media
60.7,express,ninguna,4.05,alta
52.28,express,ninguna,3.67,alta
84.27,normal,ninguna,1.19,media
82.12,express,ninguna,3.96,alta
64.86,express,ninguna,4.15,alta
79.34,express,valioso,3.34,alta
88.42,normal,ninguna,12.46,alta
34.78,normal,ninguna,0.55,baja
65.46,express,ninguna,3.63,alta
33.81,express,valioso,4.14,alta
83.16,express,ninguna,3.67,alta
66.79,express,ninguna,3.75,alta
61.08,normal,ninguna,2.77,media
4.08,normal,ninguna,4.12,media
12.08,express,ninguna,3.73,alta
69.01,express,ninguna,4.23,alta
34.41,normal,ninguna,9.74,alta
94.49,express,ninguna,4.47,alta
66.47,express,valioso,3.77,alta
69.21,normal,ninguna,1.95,media
85.37,normal,ninguna,1.98,media
18.67,express,valioso,4.82,alta
1.16,normal,ninguna,3.1,media
4.35,normal,ninguna,4.83,media
45.81,normal,valioso,4.61,media
94.26,express,ninguna,3.65,alta
91.52,normal,valioso,3.18,media
79.0,normal,valioso,4.37,media
13.05,express,ninguna,4.71,alta
8.23,express,ninguna,14.24,alta
52.2,express,ninguna,3.56,alta
6.43,express,ninguna,3.96,alta
7.65,express,ninguna,4.03,alta
16.35,express,ninguna,12.19,alta
1.38,express,valioso,4.71,alta
2.61,normal,ninguna,3.14,media
3.56,normal,ninguna,3.62,media
54.41,normal,ninguna,10.96,alta
84.02,express,ninguna,3.82,alta
1.61,normal,ninguna,3.83,media
67.56,express,ninguna,3.94,alta
40.62,normal,ninguna,1.98,baja
79.66,normal,ninguna,1.93,media
4.79,normal,ninguna,4.23,media
38.93,normal,valioso,4.59,media
59.46,normal,valioso,3.19,media
84.52,normal,ninguna,2.39,media
79.95,normal,ninguna,8.84,alta
1.78,normal,ninguna,4.01,media
2.72,express,ninguna,3.77,alta
1.86,normal,ninguna,4.33,media
50.57,express,valioso,3.61,alta
71.25,normal,valioso,4.73,media
78.48,normal,ninguna,2.54,media
71.48,express,ninguna,3.37,alta
6.59,express,ninguna,4.18,alta
42.99,normal,valioso,4.08,media
60.5,express,ninguna,4.4,alta
12.84,normal,ninguna,2.85,media
33.91,express,ninguna,11.76,alta
2.41,normal,ninguna,4.05,media
2.58,express,ninguna,3.46,alta
3.87,normal,ninguna,3.28,media
14.32,express,ninguna,3.46,alta
92.84,normal,ninguna,0.79,media
35.78,normal,ninguna,2.11,baja
16.6,normal,valioso,3.27,media
31.95,normal,valioso,4.52,media
4.34,normal,ninguna,3.74,media
85.53,express,valioso,4.42,alta
58.43,normal,valioso,4.22,media
14.29,normal,valioso,4.77,media
50.07,express,valioso,4.39,alta
52.29,normal,ninguna,1.08,media
99.38,express,valioso,4.64,alta
74.36,express,ninguna,4.66,alta
82.67,express,ninguna,7.39,alta
47.98,normal,valioso,3.43,media
82.49,express,ninguna,3.56,alta
73.21,normal,valioso,4.32,media
24.63,express,ninguna,12.69,alta
50.6,normal,ninguna,2.43,media
56.05,normal,valioso,3.39,media
47.59,normal,ninguna,0.66,baja
79.07,normal,ninguna,1.95,media
21.49,express,valioso,4.11,alta
66.21,normal,ninguna,2.57,media
2.18,normal,ninguna,3.65,media
49.54,normal,valioso,3.45,media
28.0,normal,ninguna,6.59,alta
4.12,express,ninguna,3.23,alta
95.87,express,ninguna,4.06,alta
8.86,express,ninguna,3.27,alta
2.31,normal,ninguna,3.75,media
71.41,express,valioso,4.27,alta
51.09,normal,valioso,4.01,media
8.43,express,ninguna,8.76,alta
89.4,express,ninguna,6.79,alta
70.5,express,valioso,4.14,alta
4.76,normal,ninguna,3.42,media
93.82,express,valioso,3.31,alta
4.59,normal,ninguna,4.11,media
74.12,normal,ninguna,0.78,media
92.44,normal,ninguna,0.84,media
94.5,normal,valioso,4.55,media
74.69,express,ninguna,3.79,alta
1.51,express,ninguna,4.66,alta
52.99,normal,ninguna,0.55,media
81.14,express,ninguna,3.45,alta
68.64,express,ninguna,4.27,alta
5.02,express,ninguna,3.79,alta
86.53,normal,ninguna,2.81,media
5.33,express,valioso,4.71,alta
96.43,normal,ninguna,0.21,media
67.2,normal,valioso,3.64,media
50.74,normal,ninguna,1.53,media
15.49,normal,ninguna,5.59,alta
90.27,express,valioso,4.07,alta
28.27,normal,valioso,4.61,media
82.0,normal,ninguna,0.27,media
3.96,express,valioso,3.6,alta
32.21,express,valioso,4.58,alta
12.39,express,ninguna,4.0,alta
45.24,express,ninguna,7.51,alta
82.74,express,ninguna,3.76,alta
5.51,normal,ninguna,13.6,alta
67.98,express,valioso,4.83,alta
75.57,express,ninguna,4.5,alta
3.49,normal,ninguna,3.25,media
1.92,normal,ninguna,3.29,media
28.68,normal,ninguna,1.07,baja
4.07,normal,ninguna,4.7,media
21.88,express,valioso,3.38,alta
7.14,express,ninguna,3.67,alta
76.93,express,ninguna,4.59,alta
92.51,express,ninguna,3.71,alta
82.9,normal,valioso,4.08,media
1.95,normal,ninguna,3.12,media
95.09,normal,ninguna,1.74,media
94.96,normal,valioso,4.32,media
41.45,express,valioso,3.98,alta
26.37,normal,valioso,3.26,media
22.13,normal,valioso,3.34,media
5.16,express,ninguna,4.54,alta
2.86,normal,ninguna,3.98,media
85.23,express,ninguna,4.57,alta
89.5,normal,ninguna,0.21,media
14.31,express,ninguna,3.79,alta
50.27,normal,valioso,4.61,media
63.69,express,ninguna,4.29,alta
6.87,express,ninguna,14.04,alta
16.36,normal,ninguna,1.39,baja
11.37,express,ninguna,4.68,alta
43.89,normal,valioso,3.47,media
71.16,express,ninguna,3.33,alta
21.99,normal,ninguna,11.35,alta
72.51,express,valioso,3.3,alta
3.69,normal,ninguna,3.45,media
44.72,express,ninguna,11.19,alta
69.3,normal,ninguna,2.47,media
17.72,normal,valioso,3.41,media
5.35,express,ninguna,4.78,alta
74.71,normal,ninguna,5.4,alta
51.46,normal,ninguna,0.15,media
2.72,express,ninguna,4.09,alta
8.72,express,ninguna,3.16,alta
2.79,express,ninguna,9.82,alta
6.78,express,ninguna,3.15,alta
52.29,express,ninguna,11.52,alta
83.88,express,ninguna,3.45,alta
9.97,normal,ninguna,0.88,baja
42.06,express,valioso,4.4,alta
50.42,normal,ninguna,14.43,alta
2.05,normal,ninguna,4.74,media
31.87,normal,valioso,3.17,media
31.57,express,valioso,3.56,alta
2.68,normal,ninguna,4.08,media
98.73,express,ninguna,4.53,alta
86.81,normal,ninguna,13.44,alta
73.5,express,valioso,3.58,alta
7.79,express,valioso,3.71,alta
1.77,express,ninguna,4.83,alta
68.67,normal,ninguna,9.75,alta
57.43,normal,ninguna,0.63,media
1.04,normal,ninguna,4.82,media
56.2,express,ninguna,3.88,alta
36.18,express,valioso,3.69,alta
40.16,normal,ninguna,0.12,baja
18.73,express,valioso,4.06,alta
12.12,normal,valioso,4.62,media
4.49,normal,ninguna,4.65,media
77.05,express,ninguna,3.34,alta
13.33,express,ninguna,3.71,alta
14.23,express,ninguna,4.69,alta
34.81,express,valioso,4.11,alta
38.5,express,valioso,4.6,alta
7.88,express,ninguna,3.14,alta
94.61,express,valioso,3.84,alta
36.93,normal,valioso,3.61,media
65.98,express,ninguna,10.79,alta
63.47,express,ninguna,3.82,alta
67.18,express,ninguna,4.52,alta
87.81,express,ninguna,4.75,alta
56.14,express,valioso,3.8,alta
30.28,normal,ninguna,6.43,alta
61.51,express,valioso,4.89,alta
37.5,normal,ninguna,1.35,baja
84.05,express,valioso,3.94,alta
36.9,express,ninguna,11.01,alta
53.26,express,ninguna,4.82,alta
77.72,express,valioso,4.24,alta
19.37,normal,valioso,4.75,media
4.27,normal,ninguna,4.9,media
3.98,normal,ninguna,3.66,media
93.48,express,valioso,4.18,alta
89.95,normal,ninguna,0.15,media
48.97,normal,ninguna,0.62,baja
20.92,express,valioso,3.97,alta
15.21,normal,valioso,4.26,media
4.08,normal,ninguna,3.52,media
4.05,normal,ninguna,4.49,media
99.47,express,ninguna,4.29,alta
6.12,express,ninguna,4.6,alta
8.16,express,ninguna,3.28,alta
58.5,normal,ninguna,2.67,media
77.31,normal,ninguna,1.89,media
53.21,normal,ninguna,10.74,alta
11.64,express,ninguna,4.54,alta
59.29,normal,ninguna,10.7,alta
3.67,express,ninguna,7.09,alta
1.48,normal,ninguna,4.43,media
8.76,normal,ninguna,5.7,alta
55.82,normal,ninguna,0.58,media
4.33,normal,ninguna,4.0,media
9.42,express,ninguna,3.4,alta
1.3,normal,ninguna,3.49,media
2.69,normal,ninguna,4.09,media
53.78,normal,ninguna,7.13,alta
12.24,express,ninguna,4.1,alta
2.91,express,ninguna,4.59,alta
72.38,normal,ninguna,10.75,alta
90.77,normal,valioso,3.74,media
3.54,normal,ninguna,4.83,media
9.99,express,ninguna,4.72,alta
2.86,normal,ninguna,3.33,media
93.31,express,ninguna,4.74,alta
40.68,normal,ninguna,1.58,baja
29.97,normal,ninguna,2.03,baja
82.34,normal,valioso,4.38,media
57.02,express,ninguna,8.52,alta
2.24,normal,ninguna,4.57,media
87.01,express,ninguna,4.46,alta
70.31,express,valioso,3.45,alta
18.54,normal,ninguna,5.53,alta
59.54,express,ninguna,4.2,alta
13.79,express,ninguna,3.23,alta
19.62,normal,ninguna,1.53,baja
94.43,express,ninguna,4.5,alta
53.21,express,ninguna,4.83,alta
76.47,normal,ninguna,1.22,media
16.71,express,ninguna,8.66,alta
21.71,express,valioso,3.24,alta
1.1,normal,ninguna,4.0,media
31.55,normal,valioso,4.32,media
90.17,express,ninguna,3.2,alta
2.85,express,ninguna,4.65,alta
72.23,express,valioso,4.57,alta
65.04,normal,valioso,4.46,media
11.18,express,ninguna,4.34,alta
76.76,normal,ninguna,0.73,media
1.48,normal,ninguna,3.97,media
9.32,express,ninguna,3.11,alta
74.86,normal,ninguna,9.68,alta
69.96,express,ninguna,4.62,alta
7.82,express,ninguna,3.86,alta
63.62,express,ninguna,4.67,alta
67.03,express,ninguna,4.27,alta
93.39,express,ninguna,4.62,alta
67.59,express,ninguna,12.89,alta
75.94,normal,valioso,3.82,media
1.14,normal,ninguna,3.46,media
7.62,express,ninguna,4.49,alta
3.67,normal,ninguna,4.74,media
68.68,express,ninguna,4.11,alta
85.84,express,ninguna,3.81,alta
14.0,express,ninguna,3.86,alta
61.47,normal,valioso,3.44,media
73.2,express,valioso,3.62,alta
69.56,normal,valioso,3.65,media
4.33,normal,ninguna,3.17,media
68.74,express,ninguna,4.25,alta
84.18,express,ninguna,3.34,alta
6.38,express,ninguna,4.46,alta
64.91,express,ninguna,4.35,alta
19.5,normal,ninguna,1.8,baja
10.6,express,ninguna,4.5,alta
1.68,normal,ninguna,3.23,media
75.85,normal,valioso,3.13,media
58.92,normal,ninguna,12.77,alta
24.08,express,valioso,4.03,alta
98.45,express,ninguna,4.61,alta
87.75,express,ninguna,3.16,alta
4.35,normal,ninguna,4.56,media
4.43,normal,ninguna,4.59,media
97.35,normal,ninguna,10.28,alta
29.38,normal,valioso,3.24,media
94.16,express,ninguna,9.0,alta
68.64,normal,valioso,4.5,media
1.26,express,ninguna,8.75,alta
1.94,normal,ninguna,3.75,media
1.92,express,ninguna,4.8,alta
48.32,normal,ninguna,5.45,alta
34.78,normal,valioso,4.9,media
18.24,express,valioso,4.56,alta
4.31,normal,ninguna,4.15,media
82.08,normal,ninguna,1.41,media
97.07,normal,ninguna,1.73,media
10.01,express,ninguna,4.56,alta
99.12,normal,valioso,3.85,media
9.3,normal,valioso,4.78,media
6.3,express,ninguna,3.64,alta
50.28,express,ninguna,3.9,alta
67.42,express,ninguna,3.41,alta
11.59,express,ninguna,4.84,alta
82.99,express,ninguna,4.88,alta
13.83,express,ninguna,3.85,alta
34.54,normal,valioso,3.33,media
63.1,normal,valioso,4.0,media
74.33,express,ninguna,3.12,alta
70.67,express,ninguna,3.92,alta
86.01,normal,valioso,3.19,media
80.95,express,valioso,3.9,alta
3.78,normal,ninguna,4.65,media
23.73,normal,ninguna,0.32,baja
76.81,normal,ninguna,1.97,media
2.31,express,valioso,3.31,alta
52.21,express,ninguna,3.38,alta
42.73,normal,ninguna,2.49,baja
89.17,express,ninguna,3.88,alta
4.76,normal,ninguna,5.95,alta
83.0,express,ninguna,4.18,alta
1.68,normal,ninguna,3.83,media
46.12,normal,ninguna,0.58,baja
63.47,normal,ninguna,0.55,media
3.02,normal,ninguna,4.66,media
34.43,normal,ninguna,1.91,baja
17.41,express,ninguna,13.59,alta
89.85,express,valioso,3.93,alta
7.09,express,ninguna,4.37,alta
70.57,normal,ninguna,0.18,media
94.97,normal,ninguna,6.72,alta
1.53,express,ninguna,3.84,alta
3.41,normal,ninguna,3.31,media
87.5,normal,ninguna,1.31,media
5.31,normal,valioso,4.27,media
23.24,express,valioso,3.3,alta
3.99,normal,ninguna,4.17,media
65.5,express,ninguna,4.21,alta
95.29,normal,valioso,3.25,media
13.7,express,ninguna,4.8,alta
71.54,express,ninguna,4.57,alta
67.2,express,ninguna,3.8,alta
47.36,express,valioso,4.27,alta
4.43,express,ninguna,4.79,alta
72.33,normal,ninguna,10.96,alta
4.51,normal,ninguna,3.69,media
38.41,express,valioso,3.18,alta
55.8,express,ninguna,3.49,alta
50.84,express,ninguna,4.17,alta
8.11,express,ninguna,13.77,alta
37.16,express,ninguna,13.09,alta
74.37,express,ninguna,6.71,alta
18.48,express,valioso,3.27,alta
26.65,express,ninguna,9.89,alta
7.6,express,ninguna,4.29,alta
50.18,normal,valioso,3.92,media
64.41,express,ninguna,13.49,alta
9.18,normal,valioso,3.22,media
94.01,normal,ninguna,0.23,media
96.97,express,ninguna,3.32,alta
24.63,express,valioso,4.81,alta
70.62,express,ninguna,3.74,alta
23.77,normal,ninguna,5.27,alta
4.34,normal,ninguna,3.71,media
12.5,express,ninguna,4.18,alta
2.57,normal,ninguna,4.38,media
61.03,express,ninguna,3.61,alta
87.35,normal,valioso,3.66,media
82.38,express,valioso,3.78,alta
2.33,normal,ninguna,3.67,media
10.18,normal,ninguna,2.36,baja
74.33,express,valioso,4.21,alta
41.96,normal,ninguna,2.27,baja
6.43,normal,valioso,3.22,media
54.74,normal,ninguna,12.26,alta
58.42,normal,valioso,3.55,media
3.56,normal,ninguna,3.87,media
54.22,normal,valioso,3.98,media
24.67,express,ninguna,5.8,alta
13.19,express,ninguna,4.15,alta
5.35,express,ninguna,4.82,alta
95.17,express,valioso,4.26,alta
72.11,express,valioso,4.72,alta
71.98,normal,valioso,4.11,media
45.66,express,valioso,4.29,alta
67.91,express,valioso,3.7,alta
4.35,express,ninguna,5.45,alta
91.95,normal,valioso,4.23,media
81.88,express,valioso,4.68,alta
82.8,normal,valioso,4.62,media
9.55,normal,ninguna,0.43,baja
46.43,normal,valioso,4.86,media
61.73,normal,ninguna,0.43,media
2.87,normal,ninguna,3.68,media
99.54,normal,ninguna,13.46,alta
3.13,normal,ninguna,4.79,media
71.19,express,ninguna,3.93,alta
1.2,normal,ninguna,3.88,media
8.27,express,ninguna,4.76,alta
96.27,express,ninguna,4.2,alta
3.11,normal,ninguna,3.24,media
11.14,express,ninguna,4.47,alta
38.97,express,valioso,4.25,alta
44.7,express,ninguna,9.08,alta
96.11,express,ninguna,4.46,alta
14.81,express,ninguna,4.83,alta
7.11,normal,ninguna,11.74,alta
46.17,normal,ninguna,2.09,baja
40.24,express,valioso,4.67,alta
53.59,normal,valioso,3.31,media
17.97,normal,valioso,4.56,media
33.16,normal,ninguna,2.22,baja
82.06,normal,ninguna,12.7,alta
61.61,normal,valioso,4.62,media
36.94,normal,valioso,3.29,media
54.12,normal,valioso,3.88,media
88.67,normal,ninguna,0.39,media
58.38,normal,ninguna,0.42,media
1.68,normal,ninguna,4.21,media
79.16,normal,valioso,3.57,media
31.68,express,ninguna,10.82,alta
69.52,express,valioso,4.53,alta
5.2,normal,ninguna,0.75,baja
68.9,express,ninguna,4.76,alta
19.16,express,ninguna,5.34,alta
82.18,express,valioso,4.46,alta
94.39,express,ninguna,4.2,alta
66.87,normal,ninguna,0.21,media
43.62,express,valioso,4.27,alta
94.84,express,ninguna,4.02,alta
71.21,express,ninguna,4.37,alta
81.06,normal,ninguna,0.52,media
1.3,normal,ninguna,4.15,media
20.67,normal,ninguna,0.67,baja
22.81,express,ninguna,8.06,alta
3.12,express,ninguna,4.52,alta
19.02,normal,ninguna,0.76,baja
14.57,express,ninguna,3.23,alta
59.07,normal,valioso,4.46,media
12.59,normal,ninguna,2.39,baja
31.54,normal,valioso,4.41,media
4.06,normal,ninguna,4.04,media
3.26,normal,ninguna,3.13,media
4.18,normal,ninguna,4.88,media
22.17,normal,ninguna,0.39,baja
30.06,normal,ninguna,5.53,alta
66.41,express,valioso,4.26,alta
36.48,normal,valioso,3.32,media
4.85,express,ninguna,4.88,alta
29.07,normal,valioso,3.66,media
91.8,normal,valioso,4.52,media
2.42,normal,ninguna,4.21,media
4.13,express,ninguna,3.4,alta
12.65,express,ninguna,4.79,alta
6.97,express,valioso,3.38,alta
87.65,normal,ninguna,7.55,alta
86.72,normal,valioso,4.45,media
72.29,normal,valioso,4.17,media
23.15,express,valioso,3.6,alta
57.03,normal,valioso,4.05,media
3.78,normal,ninguna,4.4,media
52.17,normal,ninguna,12.46,alta
85.45,express,valioso,4.02,alta
8.5,express,ninguna,3.12,alta
52.12,normal,ninguna,1.0,media
81.77,normal,valioso,4.38,media
80.69,express,ninguna,4.75,alta
86.85,express,ninguna,3.75,alta
70.09,express,valioso,3.99,alta
2.31,normal,ninguna,4.73,media
24.11,normal,valioso,3.38,media
13.25,normal,valioso,3.18,media
9.57,normal,valioso,4.63,media
47.55,normal,valioso,4.7,media
4.32,normal,ninguna,4.46,media
45.08,normal,ninguna,11.43,alta
82.49,express,valioso,3.2,alta
2.22,express,ninguna,3.65,alta
2.39,normal,ninguna,4.82,media
97.31,normal,ninguna,1.78,media
93.97,express,ninguna,3.88,alta
93.15,normal,ninguna,1.66,media
93.12,express,valioso,4.24,alta
46.62,normal,ninguna,0.2,baja
12.08,express,ninguna,4.21,alta
73.44,express,valioso,3.19,alta
30.9,normal,ninguna,1.74,baja
44.01,normal,ninguna,2.27,baja
8.2,express,ninguna,4.64,alta
73.4,normal,valioso,4.19,media
12.25,express,ninguna,3.41,alta
31.02,express,valioso,3.78,alta
58.23,normal,valioso,3.9,media
74.77,express,ninguna,3.79,alta
3.86,normal,ninguna,4.86,media
24.29,normal,ninguna,2.43,baja
5.75,express,ninguna,3.94,alta
61.12,express,valioso,4.26,alta
80.74,normal,ninguna,0.99,media
14.66,express,valioso,3.38,alta
70.45,normal,ninguna,0.14,media
3.33,normal,ninguna,3.43,media
3.76,normal,ninguna,4.69,media
12.78,express,ninguna,4.58,alta
81.24,express,ninguna,4.87,alta
27.65,express,ninguna,5.15,alta
1.82,normal,ninguna,4.7,media
88.35,normal,ninguna,0.3,media
74.41,express,ninguna,4.07,alta
4.67,normal,ninguna,4.58,media
63.12,express,ninguna,4.84,alta
55.96,normal,ninguna,5.76,alta
55.32,normal,valioso,3.9,media
11.78,express,ninguna,4.21,alta
2.96,normal,ninguna,3.79,media
2.4,normal,ninguna,3.44,media
92.69,express,ninguna,4.21,alta
91.96,express,valioso,3.4,alta
14.73,express,ninguna,3.58,alta
9.2,normal,valioso,4.01,media
33.63,normal,ninguna,7.62,alta
93.65,express,ninguna,6.83,alta
59.36,express,ninguna,3.53,alta
4.4,normal,ninguna,3.31,media
59.48,express,valioso,3.46,alta
65.15,normal,valioso,3.56,media
86.66,express,valioso,4.9,alta
79.35,normal,valioso,4.25,media
72.5,express,ninguna,4.26,alta
56.73,normal,valioso,3.27,media
58.17,express,ninguna,4.32,alta
70.76,express,ninguna,4.56,alta
79.12,normal,ninguna,2.12,media
90.46,express,valioso,4.36,alta
4.82,express,ninguna,3.22,alta
87.87,normal,valioso,3.86,media
91.78,express,ninguna,4.89,alta
5.74,normal,ninguna,5.37,alta
4.01,normal,ninguna,3.75,media
46.77,normal,ninguna,2.35,baja
1.48,normal,ninguna,3.38,media
13.37,express,ninguna,9.34,alta
28.6,normal,valioso,4.49,media
86.32,normal,ninguna,2.6,media
12.38,normal,valioso,3.89,media
77.06,normal,ninguna,0.46,media
3.02,normal,ninguna,3.9,media
58.78,express,ninguna,14.13,alta
8.64,express,ninguna,4.65,alta
2.33,express,ninguna,3.89,alta
2.37,express,ninguna,4.06,alta
27.41,express,valioso,4.64,alta
53.95,express,ninguna,14.37,alta
91.64,normal,valioso,4.43,media
42.19,normal,ninguna,0.79,baja
27.34,express,ninguna,11.84,alta
3.34,normal,ninguna,4.83,media
13.99,express,ninguna,3.38,alta
56.69,normal,ninguna,8.18,alta
2.03,normal,ninguna,4.59,media
70.96,normal,ninguna,2.15,media
1.12,normal,ninguna,4.83,media
2.44,normal,ninguna,3.53,media
64.43,express,valioso,3.94,alta
4.75,normal,ninguna,4.89,media
17.42,normal,ninguna,0.33,baja
87.62,express,valioso,3.16,alta
3.65,normal,ninguna,3.79,media
80.05,normal,ninguna,1.93,media
3.76,normal,ninguna,13.86,alta
17.56,express,valioso,3.95,alta
3.85,normal,ninguna,4.49,media
3.51,express,ninguna,4.72,alta
17.45,normal,ninguna,12.72,alta
87.94,express,ninguna,4.3,alta
97.69,express,valioso,3.43,alta
22.02,express,valioso,3.79,alta
86.65,express,ninguna,3.45,alta
36.65,express,ninguna,6.72,alta
13.16,normal,valioso,4.47,media
60.44,normal,ninguna,2.54,media
33.43,normal,valioso,4.55,media
1.8,normal,ninguna,4.23,media
98.58,express,ninguna,4.19,alta
13.81,express,ninguna,3.82,alta
47.42,express,valioso,4.08,alta
3.09,normal,ninguna,3.57,media
65.87,normal,ninguna,1.46,media
14.34,express,ninguna,3.72,alta
10.11,normal,valioso,3.76,media
47.24,normal,ninguna,2.01,baja
14.76,normal,ninguna,11.65,alta
32.3,express,valioso,3.82,alta
4.1,normal,ninguna,3.12,media
15.88,express,valioso,3.49,alta
4.25,normal,ninguna,3.19,media
28.88,normal,ninguna,2.68,media
58.54,normal,ninguna,1.65,media
5.77,normal,ninguna,2.32,baja
14.34,express,ninguna,4.34,alta
38.24,express,valioso,3.11,alta
86.67,express,ninguna,4.01,alta
4.51,normal,ninguna,3.71,media
39.77,express,valioso,4.66,alta
60.9,normal,ninguna,1.79,media
11.01,express,ninguna,4.03,alta
65.06,express,ninguna,3.65,alta
3.92,normal,ninguna,3.3,media
65.87,normal,ninguna,0.15,media
90.78,normal,ninguna,0.55,media
3.63,normal,ninguna,3.49,media
49.29,normal,ninguna,13.68,alta
94.81,normal,valioso,3.75,media
54.71,normal,valioso,3.37,media
9.92,express,valioso,4.18,alta
4.32,express,ninguna,3.52,alta
3.99,normal,ninguna,4.72,media
77.43,express,ninguna,3.64,alta
10.16,normal,valioso,4.78,media
92.55,normal,ninguna,1.39,media
11.72,express,ninguna,4.09,alta
16.7,express,ninguna,13.24,alta
92.73,normal,valioso,3.12,media
92.22,express,ninguna,4.52,alta
52.23,express,ninguna,7.57,alta
13.32,express,ninguna,3.72,alta
71.69,normal,valioso,3.37,media
3.26,normal,ninguna,4.64,media
64.91,express,ninguna,3.41,alta
17.92,express,valioso,4.03,alta
2.72,normal,ninguna,3.13,media
41.98,normal,ninguna,1.1,baja
1.29,normal,ninguna,3.37,media
3.47,express,ninguna,4.05,alta
5.4,express,ninguna,9.0,alta
67.43,normal,valioso,3.25,media
26.88,normal,ninguna,9.85,alta
6.49,normal,ninguna,7.74,alta
12.43,express,ninguna,3.4,alta
82.52,normal,ninguna,2.39,media
47.82,normal,ninguna,0.72,baja
28.45,normal,ninguna,2.13,baja
76.97,normal,ninguna,1.06,media
18.56,express,ninguna,6.44,alta
58.5,express,valioso,3.75,alta
68.3,express,ninguna,4.4,alta
43.03,normal,valioso,3.96,media
62.74,normal,ninguna,1.94,media
5.69,normal,ninguna,6.65,alta
43.21,normal,ninguna,8.83,alta
1.87,normal,ninguna,4.8,media
64.62,express,ninguna,3.46,alta
20.63,express,valioso,3.95,alta
94.52,express,valioso,4.21,alta
5.6,express,ninguna,3.52,alta
24.01,express,valioso,3.22,alta
24.66,normal,valioso,4.44,media
5.67,express,ninguna,3.92,alta
88.38,normal,ninguna,1.58,media
14.83,express,ninguna,4.3,alta
99.68,express,ninguna,4.58,alta
37.93,express,valioso,4.55,alta
16.81,normal,ninguna,1.53,baja
87.12,normal,ninguna,2.23,media
54.89,express,valioso,4.2,alta
39.27,normal,ninguna,2.22,baja
